id_num	yr_cde	trm_cde	crs_cde	lead_instructr_id	crs_enrollment
234901	2022	Q1	AE   5402 101	237331	5
234902	2022	Q1	AE   5402 101	237331	5
234828	2022	Q1	AE   5402 101	237331	5
234830	2022	Q1	AE   5402 101	237331	5
234878	2022	Q1	AE   5402 101	237331	5
234901	2022	Q1	AE   5404 101	237337	2
234864	2022	Q1	AE   5404 101	237337	2
234901	2022	Q1	AE   5520 101	237328	2
234864	2022	Q1	AE   5520 101	237328	2
234888	2022	Q1	AE   5980 101	237324	3
234903	2022	Q1	AE   5980 101	237324	3
234899	2022	Q1	AE   5980 101	237324	3
234887	2022	Q1	AE   6590 101	237326	4
234890	2022	Q1	AE   6590 101	237326	4
234894	2022	Q1	AE   6590 101	237326	4
234895	2022	Q1	AE   6590 101	237326	4
234890	2022	Q1	AE   8000 101	237331	6
234898	2022	Q1	AE   8000 101	237331	6
234899	2022	Q1	AE   8000 101	237331	6
234893	2022	Q1	AE   8000 101	237331	6
234894	2022	Q1	AE   8000 101	237331	6
234895	2022	Q1	AE   8000 101	237331	6
234887	2022	Q1	AE   8900 101	237331	4
234888	2022	Q1	AE   8900 101	237331	4
234889	2022	Q1	AE   8900 101	237331	4
234900	2022	Q1	AE   8900 101	237331	4
234904	2022	Q1	AF   1011 001	237338	2
234905	2022	Q1	AF   1011 001	237338	2
234904	2022	Q1	AF   1051 001	237338	8
234905	2022	Q1	AF   1051 001	237338	8
234906	2022	Q1	AF   1051 001	237338	8
234880	2022	Q1	AF   1051 001	237338	8
234907	2022	Q1	AF   1051 001	237338	8
234908	2022	Q1	AF   1051 001	237338	8
234909	2022	Q1	AF   1051 001	237338	8
234910	2022	Q1	AF   1051 001	237338	8
234908	2022	Q1	AF   3131 001	237338	2
234909	2022	Q1	AF   3131 001	237338	2
234816	2022	Q1	AF   4141 001	237338	4
234906	2022	Q1	AF   4141 001	237338	4
234880	2022	Q1	AF   4141 001	237338	4
234910	2022	Q1	AF   4141 001	237338	4
234911	2022	Q1	AR   1001 001	237339	6
234912	2022	Q1	AR   1001 001	237339	6
234913	2022	Q1	AR   1001 001	237339	6
234914	2022	Q1	AR   1001 001	237339	6
234915	2022	Q1	AR   1001 001	237339	6
234916	2022	Q1	AR   1001 001	237339	6
234911	2022	Q1	AR   1100 001	237339	5
234912	2022	Q1	AR   1100 001	237339	5
234913	2022	Q1	AR   1100 001	237339	5
234914	2022	Q1	AR   1100 001	237339	5
234915	2022	Q1	AR   1100 001	237339	5
234916	2022	Q1	AR   1100 002	237339	1
234917	2022	Q1	AR   1800 001	237339	2
234918	2022	Q1	AR   1800 001	237339	2
234917	2022	Q1	AR   2001 001	237339	3
234918	2022	Q1	AR   2001 001	237339	3
234919	2022	Q1	AR   2001 001	237339	3
234917	2022	Q1	AR   2100 001	237339	1
234918	2022	Q1	AR   2100 002	237339	2
234919	2022	Q1	AR   2100 002	237339	2
234920	2022	Q1	AR   3001 001	237339	2
234838	2022	Q1	AR   3001 001	237339	2
234920	2022	Q1	AR   3100 001	237339	2
234838	2022	Q1	AR   3100 001	237339	2
234920	2022	Q1	AR   3101 001	237339	2
234838	2022	Q1	AR   3101 001	237339	2
234921	2022	Q1	AR   4001 001	237339	2
234922	2022	Q1	AR   4001 001	237339	2
234921	2022	Q1	AR   4100 001	237339	2
234922	2022	Q1	AR   4100 001	237339	2
234921	2022	Q1	AR   4101 001	237339	2
234922	2022	Q1	AR   4101 001	237339	2
234923	2022	Q1	BA   1000 001	237340	19
234924	2022	Q1	BA   1000 001	237340	19
234925	2022	Q1	BA   1000 001	237340	19
234926	2022	Q1	BA   1000 001	237340	19
234927	2022	Q1	BA   1000 001	237340	19
234928	2022	Q1	BA   1000 001	237340	19
234929	2022	Q1	BA   1000 001	237340	19
234930	2022	Q1	BA   1000 001	237340	19
234931	2022	Q1	BA   1000 001	237340	19
234932	2022	Q1	BA   1000 001	237340	19
234933	2022	Q1	BA   1000 001	237340	19
234934	2022	Q1	BA   1000 001	237340	19
234935	2022	Q1	BA   1000 001	237340	19
234936	2022	Q1	BA   1000 001	237340	19
234937	2022	Q1	BA   1000 001	237340	19
234938	2022	Q1	BA   1000 001	237340	19
234939	2022	Q1	BA   1000 001	237340	19
234940	2022	Q1	BA   1000 001	237340	19
234941	2022	Q1	BA   1000 001	237340	19
234942	2022	Q1	BA   1015 001	237340	28
234943	2022	Q1	BA   1015 001	237340	28
234944	2022	Q1	BA   1015 001	237340	28
234767	2022	Q1	BA   1015 001	237340	28
234945	2022	Q1	BA   1015 001	237340	28
234690	2022	Q1	BA   1015 001	237340	28
234946	2022	Q1	BA   1015 001	237340	28
234590	2022	Q1	BA   1015 001	237340	28
234736	2022	Q1	BA   1015 001	237340	28
234738	2022	Q1	BA   1015 001	237340	28
234773	2022	Q1	BA   1015 001	237340	28
234696	2022	Q1	BA   1015 001	237340	28
234758	2022	Q1	BA   1015 001	237340	28
234932	2022	Q1	BA   1015 001	237340	28
234947	2022	Q1	BA   1015 001	237340	28
234726	2022	Q1	BA   1015 001	237340	28
234948	2022	Q1	BA   1015 001	237340	28
234949	2022	Q1	BA   1015 001	237340	28
234950	2022	Q1	BA   1015 001	237340	28
234951	2022	Q1	BA   1015 001	237340	28
234596	2022	Q1	BA   1015 001	237340	28
234952	2022	Q1	BA   1015 001	237340	28
234953	2022	Q1	BA   1015 001	237340	28
234746	2022	Q1	BA   1015 001	237340	28
234938	2022	Q1	BA   1015 001	237340	28
234940	2022	Q1	BA   1015 001	237340	28
234853	2022	Q1	BA   1015 001	237340	28
234763	2022	Q1	BA   1015 001	237340	28
234954	2022	Q1	BA   1220 201	237341	26
234955	2022	Q1	BA   1220 201	237341	26
234956	2022	Q1	BA   1220 201	237341	26
234957	2022	Q1	BA   1220 201	237341	26
234958	2022	Q1	BA   1220 201	237341	26
234959	2022	Q1	BA   1220 201	237341	26
234960	2022	Q1	BA   1220 201	237341	26
234961	2022	Q1	BA   1220 201	237341	26
234962	2022	Q1	BA   1220 201	237341	26
234963	2022	Q1	BA   1220 201	237341	26
234964	2022	Q1	BA   1220 201	237341	26
234965	2022	Q1	BA   1220 201	237341	26
234966	2022	Q1	BA   1220 201	237341	26
234967	2022	Q1	BA   1220 201	237341	26
234968	2022	Q1	BA   1220 201	237341	26
234969	2022	Q1	BA   1220 201	237341	26
234970	2022	Q1	BA   1220 201	237341	26
234971	2022	Q1	BA   1220 201	237341	26
234972	2022	Q1	BA   1220 201	237341	26
234973	2022	Q1	BA   1220 201	237341	26
234974	2022	Q1	BA   1220 201	237341	26
234975	2022	Q1	BA   1220 201	237341	26
234976	2022	Q1	BA   1220 201	237341	26
234977	2022	Q1	BA   1220 201	237341	26
234978	2022	Q1	BA   1220 201	237341	26
234979	2022	Q1	BA   1220 201	237341	26
234980	2022	Q1	BA   1710 011	237342	3
234981	2022	Q1	BA   1710 011	237342	3
234982	2022	Q1	BA   1710 011	237342	3
234924	2022	Q1	BA   1801 001	237343	12
234926	2022	Q1	BA   1801 001	237343	12
234928	2022	Q1	BA   1801 001	237343	12
234929	2022	Q1	BA   1801 001	237343	12
234930	2022	Q1	BA   1801 001	237343	12
234931	2022	Q1	BA   1801 001	237343	12
234932	2022	Q1	BA   1801 001	237343	12
234934	2022	Q1	BA   1801 001	237343	12
234948	2022	Q1	BA   1801 001	237343	12
234937	2022	Q1	BA   1801 001	237343	12
234939	2022	Q1	BA   1801 001	237343	12
234941	2022	Q1	BA   1801 001	237343	12
234956	2022	Q1	BA   2015 001	237343	20
234944	2022	Q1	BA   2015 001	237343	20
234983	2022	Q1	BA   2015 001	237343	20
234945	2022	Q1	BA   2015 001	237343	20
234984	2022	Q1	BA   2015 001	237343	20
234985	2022	Q1	BA   2015 001	237343	20
234986	2022	Q1	BA   2015 001	237343	20
234987	2022	Q1	BA   2015 001	237343	20
234988	2022	Q1	BA   2015 001	237343	20
234989	2022	Q1	BA   2015 001	237343	20
234990	2022	Q1	BA   2015 001	237343	20
234991	2022	Q1	BA   2015 001	237343	20
234992	2022	Q1	BA   2015 001	237343	20
234950	2022	Q1	BA   2015 001	237343	20
234993	2022	Q1	BA   2015 001	237343	20
234994	2022	Q1	BA   2015 001	237343	20
234995	2022	Q1	BA   2015 001	237343	20
234996	2022	Q1	BA   2015 001	237343	20
234997	2022	Q1	BA   2015 001	237343	20
234998	2022	Q1	BA   2015 001	237343	20
234999	2022	Q1	BA   2220 001	237344	24
235000	2022	Q1	BA   2220 001	237344	24
235001	2022	Q1	BA   2220 001	237344	24
235002	2022	Q1	BA   2220 001	237344	24
235003	2022	Q1	BA   2220 001	237344	24
235004	2022	Q1	BA   2220 001	237344	24
235005	2022	Q1	BA   2220 001	237344	24
235006	2022	Q1	BA   2220 001	237344	24
235007	2022	Q1	BA   2220 001	237344	24
235008	2022	Q1	BA   2220 001	237344	24
235009	2022	Q1	BA   2220 001	237344	24
235010	2022	Q1	BA   2220 001	237344	24
235011	2022	Q1	BA   2220 001	237344	24
235012	2022	Q1	BA   2220 001	237344	24
235013	2022	Q1	BA   2220 001	237344	24
235014	2022	Q1	BA   2220 001	237344	24
235015	2022	Q1	BA   2220 001	237344	24
235016	2022	Q1	BA   2220 001	237344	24
235017	2022	Q1	BA   2220 001	237344	24
235018	2022	Q1	BA   2220 001	237344	24
235019	2022	Q1	BA   2220 001	237344	24
235020	2022	Q1	BA   2220 001	237344	24
235021	2022	Q1	BA   2220 001	237344	24
235022	2022	Q1	BA   2220 001	237344	24
235023	2022	Q1	BA   2220 002	237344	22
235024	2022	Q1	BA   2220 002	237344	22
235025	2022	Q1	BA   2220 002	237344	22
234609	2022	Q1	BA   2220 002	237344	22
234844	2022	Q1	BA   2220 002	237344	22
235026	2022	Q1	BA   2220 002	237344	22
235027	2022	Q1	BA   2220 002	237344	22
235028	2022	Q1	BA   2220 002	237344	22
235029	2022	Q1	BA   2220 002	237344	22
235030	2022	Q1	BA   2220 002	237344	22
235031	2022	Q1	BA   2220 002	237344	22
235032	2022	Q1	BA   2220 002	237344	22
235033	2022	Q1	BA   2220 002	237344	22
235034	2022	Q1	BA   2220 002	237344	22
235035	2022	Q1	BA   2220 002	237344	22
235036	2022	Q1	BA   2220 002	237344	22
235037	2022	Q1	BA   2220 002	237344	22
235038	2022	Q1	BA   2220 002	237344	22
235039	2022	Q1	BA   2220 002	237344	22
235040	2022	Q1	BA   2220 002	237344	22
235041	2022	Q1	BA   2220 002	237344	22
235042	2022	Q1	BA   2220 002	237344	22
235043	2022	Q1	BA   2220 003	237341	20
235044	2022	Q1	BA   2220 003	237341	20
235045	2022	Q1	BA   2220 003	237341	20
235046	2022	Q1	BA   2220 003	237341	20
235047	2022	Q1	BA   2220 003	237341	20
235048	2022	Q1	BA   2220 003	237341	20
235049	2022	Q1	BA   2220 003	237341	20
235050	2022	Q1	BA   2220 003	237341	20
235051	2022	Q1	BA   2220 003	237341	20
235052	2022	Q1	BA   2220 003	237341	20
235053	2022	Q1	BA   2220 003	237341	20
235054	2022	Q1	BA   2220 003	237341	20
235055	2022	Q1	BA   2220 003	237341	20
235056	2022	Q1	BA   2220 003	237341	20
235057	2022	Q1	BA   2220 003	237341	20
235058	2022	Q1	BA   2220 003	237341	20
235059	2022	Q1	BA   2220 003	237341	20
235060	2022	Q1	BA   2220 003	237341	20
234776	2022	Q1	BA   2220 003	237341	20
235061	2022	Q1	BA   2220 003	237341	20
235062	2022	Q1	BA   2222 001	237345	10
235063	2022	Q1	BA   2222 001	237345	10
234931	2022	Q1	BA   2222 001	237345	10
234932	2022	Q1	BA   2222 001	237345	10
234934	2022	Q1	BA   2222 001	237345	10
235064	2022	Q1	BA   2222 001	237345	10
235065	2022	Q1	BA   2222 001	237345	10
235066	2022	Q1	BA   2222 001	237345	10
234940	2022	Q1	BA   2222 001	237345	10
235067	2022	Q1	BA   2222 001	237345	10
235068	2022	Q1	BA   2225 001	237346	33
235069	2022	Q1	BA   2225 001	237346	33
235070	2022	Q1	BA   2225 001	237346	33
235071	2022	Q1	BA   2225 001	237346	33
235072	2022	Q1	BA   2225 001	237346	33
235073	2022	Q1	BA   2225 001	237346	33
235074	2022	Q1	BA   2225 001	237346	33
235075	2022	Q1	BA   2225 001	237346	33
235076	2022	Q1	BA   2225 001	237346	33
235077	2022	Q1	BA   2225 001	237346	33
235078	2022	Q1	BA   2225 001	237346	33
235079	2022	Q1	BA   2225 001	237346	33
235080	2022	Q1	BA   2225 001	237346	33
235081	2022	Q1	BA   2225 001	237346	33
235082	2022	Q1	BA   2225 001	237346	33
235083	2022	Q1	BA   2225 001	237346	33
235084	2022	Q1	BA   2225 001	237346	33
235085	2022	Q1	BA   2225 001	237346	33
235086	2022	Q1	BA   2225 001	237346	33
235087	2022	Q1	BA   2225 001	237346	33
235088	2022	Q1	BA   2225 001	237346	33
235089	2022	Q1	BA   2225 001	237346	33
235090	2022	Q1	BA   2225 001	237346	33
235091	2022	Q1	BA   2225 001	237346	33
235092	2022	Q1	BA   2225 001	237346	33
235093	2022	Q1	BA   2225 001	237346	33
235094	2022	Q1	BA   2225 001	237346	33
235095	2022	Q1	BA   2225 001	237346	33
235096	2022	Q1	BA   2225 001	237346	33
235097	2022	Q1	BA   2225 001	237346	33
235098	2022	Q1	BA   2225 001	237346	33
235099	2022	Q1	BA   2225 001	237346	33
235100	2022	Q1	BA   2225 001	237346	33
235101	2022	Q1	BA   2331 001	237347	24
235102	2022	Q1	BA   2331 001	237347	24
235103	2022	Q1	BA   2331 001	237347	24
235104	2022	Q1	BA   2331 001	237347	24
235105	2022	Q1	BA   2331 001	237347	24
235063	2022	Q1	BA   2331 001	237347	24
235106	2022	Q1	BA   2331 001	237347	24
235107	2022	Q1	BA   2331 001	237347	24
234694	2022	Q1	BA   2331 001	237347	24
235108	2022	Q1	BA   2331 001	237347	24
235109	2022	Q1	BA   2331 001	237347	24
